meeting_key,year,country_name,location,circuit_short_name,circuit_type,meeting_name
1247,2024,United States,Austin,Austin,Permanent,United States Grand Prix
1248,2024,Mexico,Mexico City,Mexico City,Permanent,Mexico City Grand Prix
1249,2024,Brazil,São Paulo,Interlagos,Permanent,São Paulo Grand Prix
1250,2024,United States,Las Vegas,Las Vegas,Temporary - Street,Las Vegas Grand Prix
1251,2024,Qatar,Lusail,Lusail,Permanent,Qatar Grand Prix
1252,2024,United Arab Emirates,Yas Island,Yas Marina Circuit,Permanent,Abu Dhabi Grand Prix
1253,2025,Bahrain,Sakhir,Sakhir,Permanent,Pre-Season Testing
1254,2025,Australia,Melbourne,Melbourne,Temporary - Street,Australian Grand Prix
1255,2025,China,Shanghai,Shanghai,Permanent,Chinese Grand Prix
1256,2025,Japan,Suzuka,Suzuka,Permanent,Japanese Grand Prix
1257,2025,Bahrain,Sakhir,Sakhir,Permanent,Bahrain Grand Prix
1258,2025,Saudi Arabia,Jeddah,Jeddah,Temporary - Street,Saudi Arabian Grand Prix
1259,2025,United States,Miami Gardens,Miami,Temporary - Street,Miami Grand Prix
1260,2025,Italy,Imola,Imola,Permanent,Emilia Romagna Grand Prix
1261,2025,Monaco,Monaco,Monte Carlo,Temporary - Street,Monaco Grand Prix
1262,2025,Spain,Barcelona,Catalunya,Permanent,Spanish Grand Prix
1263,2025,Canada,Montréal,Montreal,Permanent,Canadian Grand Prix
1264,2025,Austria,Spielberg,Spielberg,Permanent,Austrian Grand Prix
1277,2025,United Kingdom,Silverstone,Silverstone,Permanent,British Grand Prix
1265,2025,Belgium,Spa-Francorchamps,Spa-Francorchamps,Temporary - Road,Belgian Grand Prix
1266,2025,Hungary,Budapest,Hungaroring,Permanent,Hungarian Grand Prix
1267,2025,Netherlands,Zandvoort,Zandvoort,Permanent,Dutch Grand Prix
1268,2025,Italy,Monza,Monza,Permanent,Italian Grand Prix
1269,2025,Azerbaijan,Baku,Baku,Temporary - Street,Azerbaijan Grand Prix
1270,2025,Singapore,Marina Bay,Singapore,Temporary - Street,Singapore Grand Prix
1271,2025,United States,Austin,Austin,Permanent,United States Grand Prix
1272,2025,Mexico,Mexico City,Mexico City,Permanent,Mexico City Grand Prix
1273,2025,Brazil,São Paulo,Interlagos,Permanent,São Paulo Grand Prix
1274,2025,United States,Las Vegas,Las Vegas,Temporary - Street,Las Vegas Grand Prix
1275,2025,Qatar,Lusail,Lusail,Permanent,Qatar Grand Prix
1276,2025,United Arab Emirates,Yas Island,Yas Marina Circuit,Permanent,Abu Dhabi Grand Prix
